ride_date,total_rides,unique_start_stations,unique_end_stations,avg_ride_duration_minutes,median_ride_duration_minutes,member_rides,casual_rides,member_share,casual_share
2023-12-31,374,231,231,95.06417731729054,31.900949999999998,177,197,0.4732620320855615,0.5267379679144385
2024-01-01,47239,2081,2020,14.20543864673963,8.978766666666667,35978,11261,0.7616164609750418,0.23838353902495818
2024-01-02,68120,2125,2065,12.062762301330984,7.938008333333333,59438,8682,0.8725484439224898,0.12745155607751027
2024-01-03,76534,2133,2081,11.850291985696987,7.917866666666667,67740,8794,0.885096819714114,0.11490318028588602
2024-01-04,77458,2137,2068,10.845276501458855,7.837683333333333,68571,8887,0.885266854295231,0.11473314570476903
2024-01-05,72437,2129,2065,10.940919290555932,7.7191833333333335,63312,9125,0.874028466115383,0.125971533884617
2024-01-06,43282,2059,1985,11.05706522110808,7.673666666666666,37136,6146,0.8580010165888822,0.14199898341111777
2024-01-07,35670,2030,1965,10.372158632838053,7.256141666666666,31350,4320,0.8788898233809924,0.12111017661900757
2024-01-08,78452,2142,2073,11.176292478628122,7.7908333333333335,70199,8253,0.8948019170958038,0.1051980829041962
2024-01-09,43023,2060,1984,10.27829160410323,7.42755,39447,3576,0.9168816679450527,0.08311833205494736
2024-01-10,81649,2137,2079,11.887336899206767,8.17905,73829,7820,0.9042241791081336,0.0957758208918664
2024-01-11,89170,2145,2082,11.510107304212926,8.147316666666667,79808,9362,0.8950095323539307,0.1049904676460693
2024-01-12,86091,2140,2075,11.8940427698598,8.108983333333333,75271,10820,0.8743190345099953,0.12568096549000476
2024-01-13,63845,2091,2034,12.368458849557523,8.539366666666666,53126,10719,0.8321090140183256,0.16789098598167437
2024-01-14,48890,2063,2011,10.7014424364219,7.553066666666666,41892,6998,0.8568623440376355,0.1431376559623645
2024-01-15,45553,2067,1974,10.062847044834221,7.00045,40986,4567,0.8997431563234035,0.10025684367659649
2024-01-16,27360,1888,1849,11.089055557383041,7.562200000000001,25603,1757,0.9357821637426901,0.06421783625730994
2024-01-17,42783,2009,1941,10.445347022181709,7.261316666666667,40079,2704,0.9367973260407171,0.06320267395928289
2024-01-18,55529,2066,1990,10.250838128425388,7.421316666666667,51501,4028,0.9274613265140738,0.07253867348592627
2024-01-19,44049,2051,1985,9.626141522698207,7.190433333333333,40684,3365,0.9236078004040954,0.07639219959590456
2024-01-20,37204,2008,1942,9.721622936153818,6.974066666666667,33475,3729,0.8997688420599935,0.10023115794000645
2024-01-21,36304,1986,1908,9.94994051895108,6.990166666666667,32585,3719,0.8975594975760247,0.10244050242397532
2024-01-22,61056,2092,2036,9.967404677399983,7.317475,56258,4798,0.9214164046121593,0.07858359538784067
2024-01-23,70639,2095,2041,10.349150519307088,7.6287666666666665,65065,5574,0.9210917481844307,0.0789082518155693
2024-01-24,65892,2091,2032,10.227376743256642,7.59445,60527,5365,0.9185788866630243,0.08142111333697566
