day_name,day_of_week,start_hour,member_type,total_rides,avg_ride_duration_minutes
Monday,0,0,casual,2078,16.71734781039461
Monday,0,0,member,6885,10.224595221496005
Monday,0,1,casual,1554,19.083334395109393
Monday,0,1,member,4394,11.035903144439386
Monday,0,2,casual,1109,16.218118981064023
Monday,0,2,member,3034,11.492414343001537
Monday,0,3,casual,692,15.795445833333334
Monday,0,3,member,2121,10.271485777149143
Monday,0,4,casual,596,17.47670494966443
Monday,0,4,member,2511,10.028078527810965
Monday,0,5,casual,735,13.06734058956916
Monday,0,5,member,7760,8.596927117697595
Monday,0,6,casual,1684,10.615306621140144
Monday,0,6,member,20978,9.115437355006833
Monday,0,7,casual,3296,11.420677457524272
Monday,0,7,member,45173,9.759094495605783
Monday,0,8,casual,4773,13.147425085550667
Monday,0,8,member,69941,10.357070593309599
Monday,0,9,casual,4397,16.042979823364416
Monday,0,9,member,48808,9.954845450540896
Monday,0,10,casual,4419,19.442440752055518
Monday,0,10,member,34168,10.052979847127917
Monday,0,11,casual,5224,20.822975424323634
Monday,0,11,member,34307,10.104319243886088
Monday,0,12,casual,6277,20.81660668578408
Monday,0,12,member,40084,10.200692703655657
Monday,0,13,casual,7272,20.809044510909423
Monday,0,13,member,43373,10.496521799276048
Monday,0,14,casual,8628,20.50708881548447
Monday,0,14,member,49826,10.660225699768528
Monday,0,15,casual,9623,20.008403633655476
Monday,0,15,member,57410,10.802683344655403
Monday,0,16,casual,9556,19.14429799951165
Monday,0,16,member,66554,10.82399213120173
Monday,0,17,casual,9872,17.798648546393842
Monday,0,17,member,85660,10.912060727877655
Monday,0,18,casual,8821,15.424518546650038
Monday,0,18,member,79847,10.504203556384919
Monday,0,19,casual,6149,14.927302241556893
Monday,0,19,member,55418,9.937024796095132
Monday,0,20,casual,4424,14.521509478601567
Monday,0,20,member,37827,9.582614695411566
Monday,0,21,casual,3397,15.180333166519477
Monday,0,21,member,26683,9.77651775599945
Monday,0,22,casual,2804,14.933595470756062
Monday,0,22,member,18716,9.834926756963739
Monday,0,23,casual,2052,13.940584502923976
Monday,0,23,member,11310,10.050068529325081
Tuesday,1,0,casual,1284,13.9525247403946
Tuesday,1,0,member,5750,9.977231568115942
Tuesday,1,1,casual,671,13.608920566318927
Tuesday,1,1,member,2877,9.711504732939405
Tuesday,1,2,casual,459,19.03472737835875
Tuesday,1,2,member,1761,9.689031942078364
Tuesday,1,3,casual,260,11.89747217948718
Tuesday,1,3,member,1218,9.397285440613027
Tuesday,1,4,casual,325,12.31579364102564
Tuesday,1,4,member,2131,9.179773729078681
Tuesday,1,5,casual,766,10.754521692776326
Tuesday,1,5,member,8695,8.574155012459267
Tuesday,1,6,casual,1757,10.814846850692467
Tuesday,1,6,member,23907,9.078069302575257
Tuesday,1,7,casual,3532,11.83085147225368
Tuesday,1,7,member,50423,9.892555103491132
Tuesday,1,8,casual,5107,12.596260818484433
Tuesday,1,8,member,77823,10.501329568165366
Tuesday,1,9,casual,4405,14.12983417328793
Tuesday,1,9,member,52798,10.285428339457303
Tuesday,1,10,casual,3777,19.789296297767187
Tuesday,1,10,member,32627,10.199240991101439
Tuesday,1,11,casual,4140,20.993256107085344
Tuesday,1,11,member,29277,10.375479775933327
Tuesday,1,12,casual,4639,19.15332220665373
Tuesday,1,12,member,33251,10.310547319880104
Tuesday,1,13,casual,5306,20.35427891380827
Tuesday,1,13,member,36488,10.387653618084485
Tuesday,1,14,casual,6509,20.063642866287704
Tuesday,1,14,member,42042,10.639525478886194
Tuesday,1,15,casual,7468,19.799122835208
Tuesday,1,15,member,48819,10.789937773544453
Tuesday,1,16,casual,7994,18.97459797348011
Tuesday,1,16,member,60000,11.02741052611111
Tuesday,1,17,casual,9342,17.338057592949404
Tuesday,1,17,member,86016,11.178715884641617
Tuesday,1,18,casual,8344,16.004419129514222
Tuesday,1,18,member,74966,10.802503133642809
Tuesday,1,19,casual,5647,14.848268399149992
Tuesday,1,19,member,50804,10.307532391478361
Tuesday,1,20,casual,3764,15.438489594403118
Tuesday,1,20,member,34491,9.877957415944255
Tuesday,1,21,casual,3333,14.614329582958296
Tuesday,1,21,member,26307,9.99372709038152
Tuesday,1,22,casual,2978,15.217620875307812
Tuesday,1,22,member,20189,10.331099479089273
Tuesday,1,23,casual,2232,15.387003950119475
Tuesday,1,23,member,11809,10.169424561774917
Wednesday,2,0,casual,1425,14.290687555555555
Wednesday,2,0,member,6341,10.938657911475582
Wednesday,2,1,casual,841,14.268969104240982
Wednesday,2,1,member,3122,11.01780009075379
Wednesday,2,2,casual,499,17.419026953907817
Wednesday,2,2,member,1958,11.611573825331972
Wednesday,2,3,casual,307,17.01966509229099
Wednesday,2,3,member,1476,11.225570765582654
Wednesday,2,4,casual,386,11.46538847150259
Wednesday,2,4,member,2257,9.293590385467434
Wednesday,2,5,casual,818,10.958945517522412
Wednesday,2,5,member,9420,8.961657648619958
Wednesday,2,6,casual,2151,10.372947249341392
Wednesday,2,6,member,26650,9.179816377736085
Wednesday,2,7,casual,4263,11.40580763155837
Wednesday,2,7,member,57929,10.012846034513514
Wednesday,2,8,casual,6161,12.494588446139694
Wednesday,2,8,member,91889,10.767408875563634
Wednesday,2,9,casual,5396,14.614694965406473
Wednesday,2,9,member,64379,10.61471151643652
Wednesday,2,10,casual,4654,18.18855379959891
Wednesday,2,10,member,40183,10.402087835237124
Wednesday,2,11,casual,4927,19.498801921385564
Wednesday,2,11,member,37928,10.265066860894326
Wednesday,2,12,casual,5651,20.585629749896775
Wednesday,2,12,member,41455,10.38906829895871
Wednesday,2,13,casual,5812,19.040102337118604
Wednesday,2,13,member,41963,10.306751886582624
Wednesday,2,14,casual,7014,19.138517923676456
Wednesday,2,14,member,46137,10.58109924464096
Wednesday,2,15,casual,7888,18.19936775904327
Wednesday,2,15,member,53193,10.736367279215935
Wednesday,2,16,casual,7979,17.91813791619668
Wednesday,2,16,member,62983,10.774998014808228
Wednesday,2,17,casual,8339,16.301271879122197
Wednesday,2,17,member,83684,11.111959417969185
Wednesday,2,18,casual,8050,15.599142281573497
Wednesday,2,18,member,76905,10.723381559499815
Wednesday,2,19,casual,5741,14.707604493990592
Wednesday,2,19,member,54431,10.180862638324973
Wednesday,2,20,casual,4238,14.087208545697656
Wednesday,2,20,member,37861,9.890005281160033
Wednesday,2,21,casual,3496,13.49635046720061
Wednesday,2,21,member,28878,10.12115805630584
Wednesday,2,22,casual,3140,13.852420981953292
Wednesday,2,22,member,21277,9.933525929407342
Wednesday,2,23,casual,2391,14.535559333612156
Wednesday,2,23,member,13263,10.083412702003065
Thursday,3,0,casual,1403,13.715164195770967
Thursday,3,0,member,6901,10.0340641308023
Thursday,3,1,casual,807,14.550957414291615
Thursday,3,1,member,3389,9.699531405527686
Thursday,3,2,casual,482,15.615364799446748
Thursday,3,2,member,2010,9.906769668325042
Thursday,3,3,casual,329,13.965842806484297
Thursday,3,3,member,1437,9.848655532359082
Thursday,3,4,casual,414,14.672853180354268
Thursday,3,4,member,2226,9.21716699610662
Thursday,3,5,casual,745,11.78761970917226
Thursday,3,5,member,8290,8.572719644149577
Thursday,3,6,casual,1992,9.484526949464524
Thursday,3,6,member,24048,8.950513732257706
Thursday,3,7,casual,4081,10.82333274524218
Thursday,3,7,member,54496,9.835186360772656
Thursday,3,8,casual,6084,12.103690532544379
Thursday,3,8,member,87217,10.336412923130428
Thursday,3,9,casual,5232,14.17408488149847
Thursday,3,9,member,59478,10.14610231654281
Thursday,3,10,casual,4640,18.045430086206895
Thursday,3,10,member,39142,10.259207144925314
Thursday,3,11,casual,5261,18.890927504276753
Thursday,3,11,member,37385,10.437150644197763
Thursday,3,12,casual,5996,21.108249407938626
Thursday,3,12,member,41768,10.175212387872694
Thursday,3,13,casual,6723,20.446455206009222
Thursday,3,13,member,43297,10.331447835107898
Thursday,3,14,casual,8307,19.72852595000201
Thursday,3,14,member,51456,10.759941891454186
Thursday,3,15,casual,9663,20.316106404153302
Thursday,3,15,member,60269,10.925350753565956
Thursday,3,16,casual,9863,20.066420532968333
Thursday,3,16,member,69670,11.12938502224774
Thursday,3,17,casual,11463,17.43885037802786
Thursday,3,17,member,96992,11.34885229589382
