station_id,station_name,total_starts,total_ends,net_imbalance,total_volume
6948.1,Broadway & W 58 St,7949,2163,5786,10112
6098.1,Broadway & E 21 St,4992,392,4600,5384
6432.1,E 41 St & Madison Ave (SE corner),4473,0,4473,4473
5379.1,N 6 St & Bedford Ave,3430,0,3430,3430
6498.1,E 47 St & 2 Ave,3190,0,3190,3190
5779.1,E 14 St & 1 Ave,3742,599,3143,4341
7360.1,Amsterdam Ave & W 82 St,3578,450,3128,4028
6740.1,W 51 St & 6 Ave,3121,0,3121,3121
5553.1,E 2 St & Ave A,2869,0,2869,2869
4479.1,Schermerhorn St & Hoyt St,2827,0,2827,2827
5997.1,W 12 St & Hudson St,2771,0,2771,2771
4157.1,Bergen St & Vanderbilt Ave,3103,405,2698,3508
6313.1,Lexington Ave & E 36 St,2696,0,2696,2696
5470.1,Greenwich St & Hubert St,2296,0,2296,2296
7388.1,Riverside Dr & W 82 St,2221,0,2221,2221
6847.02,Broadway & W 56 St,12546,10399,2147,22945
7293.1,E 88 St & Park Ave,2105,0,2105,2105
6923.2,31 St & Newtown Ave,2060,0,2060,2060
5359.1,Hudson St & Reade St,2012,0,2012,2012
5137.1,Spruce St & Nassau St,1937,281,1656,2218
6659.1,E 50 St & Park Ave,1476,0,1476,1476
7230.1,W 74 St & Columbus Ave,2135,672,1463,2807
5506.1,Ave D & E 8 St,1454,0,1454,1454
5235.1,Driggs Ave & S 2 St,1676,274,1402,1950
5024.1,Water St & Fletcher St,1384,0,1384,1384
5342.10,Allen St & Hester St,6854,5541,1313,12395
6747.06,W 49 St & 8 Ave,10077,8783,1294,18860
5065.1,Maiden Ln & Pearl St,1284,0,1284,1284
6723.1,E 58 St & 1 Ave (NW Corner),2702,1438,1264,4140
7756.1,St Nicholas Ave & W 126 St,1942,829,1113,2771
5872.10,E 9 St & 5 Ave,5794,4690,1104,10484
7265.1,E 89 St & 3 Ave,2047,956,1091,3003
5669.1,St Marks Pl & 2 Ave,3067,2047,1020,5114
5430.1,6 Ave & Walker St,1011,0,1011,1011
6955.01,W 56 St & 10 Ave,10225,9230,995,19455
5626.13,St Marks Pl & 1 Ave,9709,8733,976,18442
6890.06,W 50 St & 10 Ave,11338,10389,949,21727
5886.13,E 20 St & FDR Dr,14168,13328,840,27496
6920.03,W 54 St & 9 Ave,11060,10264,796,21324
4483.1,Broadway & Madison St,756,0,756,756
4632.1,Central Ave & Woodbine St,750,0,750,750
7837.3,St Nicholas Ave & W 134 St,740,0,740,740
7340.06,Riverside Dr & W 78 St,3233,2510,723,5743
4249.1,St Marks Pl & 4 Ave,803,94,709,897
5332.1,Jackson St & Leonard St,697,3,694,700
7014.12,Broadway & W 61 St,12422,11731,691,24153
4110.1,3 St & Hoyt St,684,0,684,684
6839.1,Grand Army Plaza & Central Park S,4372,3691,681,8063
7524.16,Riverside Dr & W 91 St,3994,3314,680,7308
6779.05,Broadway & W 53 St,9794,9135,659,18929
5329.08,Murray St & West St,5151,4497,654,9648
6756.05,W 44 St & 11 Ave,14172,13523,649,27695
4010.01,Plaza St East & Flatbush Ave,6357,5714,643,12071
6926.01,W 52 St & 11 Ave,7155,6531,624,13686
7260.09,Amsterdam Ave & W 73 St,16709,16086,623,32795
4095.1,Van Brunt St & Van Dyke St,643,32,611,675
7432.09,W 89 St & Columbus Ave,8765,8159,606,16924
5247.1,Reade St & Broadway,1195,616,579,1811
4116.09,Washington Ave & Park Pl,3964,3387,577,7351
7154.10,3 Ave & E 81 St,4207,3658,549,7865
7183.03,Riverside Blvd & W 67 St,10059,9543,516,19602
4416.1,Madison St & Malcolm X Blvd,494,0,494,494
5025.02,Madison St & Forest Ave,1434,970,464,2404
7304.08,W 82 St & Central Park West,7380,6919,461,14299
7111.1,36 St & Ditmars Blvd,460,0,460,460
8226.07,W 168 St & Ft Washington Ave,2620,2161,459,4781
7580.01,W 100 St & Broadway,9150,8704,446,17854
6242.1,51 St & 43 Ave,440,0,440,440
6197.11,2 Ave & E 31 St,10124,9687,437,19811
3928.08,Eastern Pkwy & Washington Ave,4153,3725,428,7878
4689.08,Stuyvesant Ave & Hart St,1377,951,426,2328
6960.1,3 Ave & E 71 St,1153,727,426,1880
7311.07,W 78 St & Broadway,5921,5502,419,11423
5769.06,Ave C & E 16 St,4663,4251,412,8914
8249.1,Walton Ave & E 171 St,445,36,409,481
7606.01,W 106 St & Central Park West,6231,5824,407,12055
7623.13,Riverside Dr & W 104 St,4197,3795,402,7992
